movie_id,title,release_year,genres,budget,original_language,original_title,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average
12,Dracula: Dead and Loving It,1995,Comedy-Horror,0,en,Dracula: Dead and Loving It,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,Columbia Pictures-Castle Rock Entertainment-Enigma Pictures,France-United States of America,1995-12-22,0.0,88.0,English-Deutsch,5.7
13,Balto,1995,Adventure-Animation-Children's-Family,0,en,Balto,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,Universal Pictures-Amblin Entertainment-Amblimation,United States of America,1995-12-22,11348324.0,78.0,English,7.1
14,Nixon,1995,Drama-History,44000000,en,Nixon,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,Hollywood Pictures-Cinergi Pictures Entertainment,United States of America,1995-12-22,13681765.0,192.0,English,7.1
15,Cutthroat Island,1995,Action-Adventure-Romance,98000000,en,Cutthroat Island,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+-Laurence Mark Productions-Metro-Goldwyn-Mayer (MGM)-Carolco Pictures,France-Germany-Italy-United States of America,1995-12-22,10017322.0,119.0,English-Latin,5.7
16,Casino,1995,Crime-Drama-Thriller,52000000,en,Casino,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,Universal Pictures-Légende Entreprises-Syalis DA-De Fina-Cappa,France-United States of America,1995-11-22,116112375.0,178.0,English,7.8
17,Sense and Sensibility,1995,Drama-Romance,16500000,en,Sense and Sensibility,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,Columbia Pictures Corporation-Mirage Enterprises,United Kingdom-United States of America,1995-12-13,135000000.0,136.0,English,7.2
18,Four Rooms,1995,Comedy-Crime-Thriller,4000000,en,Four Rooms,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films-A Band Apart,United States of America,1995-12-09,4300000.0,98.0,English,6.5
19,Ace Ventura: When Nature Calls,1995,Adventure-Comedy-Crime,30000000,en,Ace Ventura: When Nature Calls,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,O Entertainment-Warner Bros.-Morgan Creek Productions,United States of America,1995-11-10,212385533.0,90.0,English,6.1
20,Money Train,1995,Action-Comedy-Crime,60000000,en,Money Train,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,Columbia Pictures,United States of America,1995-11-21,35431113.0,103.0,English,5.4
21,Get Shorty,1995,Action-Comedy-Crime-Drama-Thriller,30250000,en,Get Shorty,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,Jersey Films-Metro-Goldwyn-Mayer (MGM),United States of America,1995-10-20,115101622.0,105.0,English,6.4
22,Copycat,1995,Crime-Drama-Thriller,0,en,Copycat,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,Regency Enterprises-New Regency Pictures,United States of America,1995-10-27,0.0,124.0,English-Deutsch,6.5
23,Assassins,1995,Action-Adventure-Crime-Thriller,50000000,en,Assassins,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,Silver Pictures-Canal+-Warner Bros.-Dino De Laurentiis Company-Donner/Shuler-Donner Productions-Evansgideon/Lazar,France-United States of America,1995-10-06,30303072.0,132.0,English-Español-Nederlands,6.0
24,Powder,1995,Drama-Fantasy-Sci-Fi-Science Fiction-Thriller,0,en,Powder,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,Caravan Pictures-Hollywood Pictures,United States of America,1995-10-27,0.0,111.0,English,6.3
25,Leaving Las Vegas,1995,Drama-Romance,3600000,en,Leaving Las Vegas,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,United Artists-Intial Productions,United States of America,1995-10-27,49800000.0,112.0,English,7.1
26,Othello,1995,Drama,0,en,Othello,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,Columbia Pictures-Castle Rock Entertainment,Italy,1995-12-15,0.0,123.0,English,7.0
27,Now and Then,1995,Comedy-Drama-Family,12000000,en,Now and Then,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,New Line Cinema,United States of America,1995-10-20,27400000.0,100.0,English,6.6
28,Persuasion,1995,Drama-Romance,0,en,Persuasion,/si8911IezMvAnQFDvyg1nKzDlD.jpg,BBC Films,United Kingdom-France,1995-09-27,0.0,104.0,English,7.4
31,Dangerous Minds,1995,Crime-Drama,0,en,Dangerous Minds,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,Hollywood Pictures-Via Rosa Productions-Don Simpson/Jerry Bruckheimer Films,United States of America,1995-08-11,180000000.0,99.0,English,6.4
32,Twelve Monkeys,1995,Drama-Mystery-Sci-Fi-Science Fiction-Thriller,29500000,en,Twelve Monkeys,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Universal Pictures-Atlas Entertainment-Classico,United States of America,1995-12-29,168840000.0,129.0,English-Français,7.4
33,Wings of Courage,1995,Adventure-Romance,0,fr,"Guillaumet, les ailes du courage",/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,Iwerks Entertainment,France-United States of America,1996-09-18,0.0,50.0,English,6.8
34,Babe,1995,Children's-Comedy-Drama-Family-Fantasy,30000000,en,Babe,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,Universal Pictures-Kennedy Miller Productions,Australia-United States of America,1995-07-18,254134910.0,89.0,English,6.0
35,Carrington,1995,Drama-History-Romance,0,en,Carrington,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,StudioCanal-Cinéa-Euston Films-Freeway Films-European Co-production Fund-Polygram Filmed Entertainment-Orsans Productions,France-United Kingdom,1995-11-08,0.0,121.0,English,6.4
36,Dead Man Walking,1995,Drama,11000000,en,Dead Man Walking,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Havoc-PolyGram Filmed Entertainment-Working Title Films,United States of America-United Kingdom,1995-12-29,39363635.0,122.0,English,7.3
37,Across the Sea of Time,1995,Adventure-Documentary-Drama-Family-History,0,en,Across the Sea of Time,/lKOAyy098yjoot8cutYsStVO1WS.jpg,Sony New Technologies,United States of America,1995-10-20,0.0,51.0,Pусский-English,3.5
38,It Takes Two,1995,Comedy-Family-Romance,0,en,It Takes Two,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,Dualstar Productions-Warner Bros.-Rysher Entertainment-Orr & Cruickshank,United States of America,1995-11-17,0.0,101.0,English,6.1
39,Clueless,1995,Comedy-Drama-Romance,12000000,en,Clueless,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,Paramount Pictures,United States of America,1995-07-19,0.0,97.0,Español-English,6.9
40,"Cry, the Beloved Country",1995,Drama,0,en,"Cry, the Beloved Country",/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,Miramax-Distant Horizon-Alpine Pty Limited,South Africa,1995-12-15,676525.0,106.0,English,6.7
41,Richard III,1995,Drama-War,0,en,Richard III,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,British Screen-Mayfair Entertainment International,United Kingdom-United States of America,1995-12-29,0.0,104.0,English,6.9
42,Dead Presidents,1995,Action-Crime-Drama-History,10000000,en,Dead Presidents,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,Caravan Pictures-Underworld Entertainment-Hollywood Pictures,United States of America,1995-10-06,0.0,119.0,English,6.6
43,Restoration,1995,Drama-Romance,19000000,en,Restoration,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,Miramax Films,United States of America,1995-12-29,0.0,117.0,English-Español,6.3
44,Mortal Kombat,1995,Action-Adventure-Fantasy,18000000,en,Mortal Kombat,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,New Line Cinema-Threshold Entertainment,United States of America,1995-08-18,122195920.0,101.0,English,5.4
45,To Die For,1995,Comedy-Drama-Fantasy-Thriller,20000000,en,To Die For,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,The Rank Organisation-Columbia Pictures Corporation,United States of America,1995-05-20,21284514.0,106.0,English,6.7
48,Pocahontas,1995,Adventure-Animation-Children's-Drama-Family-Musical-Romance,55000000,en,Pocahontas,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,Walt Disney Pictures-Walt Disney Feature Animation,United States of America,1995-06-14,346079773.0,81.0,English,6.7
49,When Night Is Falling,1995,Drama-Romance,0,en,When Night Is Falling,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,Alliance Communications Corporation,Canada,1995-05-05,0.0,96.0,English,5.9
51,Guardian Angel,1994,Action-Drama-Thriller,0,en,Guardian Angel,/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg,,,1994-11-22,0.0,93.0,,6.3
52,Mighty Aphrodite,1995,Comedy-Romance,15000000,en,Mighty Aphrodite,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,Miramax Films-Magnolia Pictures,United States of America,1995-09-13,6700000.0,95.0,English,6.7
53,Lamerica,1994,Drama-Foreign,0,it,Lamerica,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,,Italy-France-Switzerland,1994-01-01,0.0,116.0,shqip-Italiano,7.7
55,Georgia,1995,Drama,0,en,Georgia,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,Miramax Films-CiBy 2000,France-United States of America,1995-05-19,0.0,115.0,English,6.1
56,Kids of the Round Table,1995,Adventure-Children's-Fantasy,0,en,Kids of the Round Table,/tL9ImxOccEshRlgmrKQabKH2tCd.jpg,Telefilm Canada-Melenny Productions,,1997-07-08,0.0,89.0,English,3.0
57,Home for the Holidays,1995,Comedy-Drama-Romance,0,en,Home for the Holidays,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,Paramount Pictures-Egg Pictures-PolyGram Filmed Entertainment,United States of America,1995-11-02,17519169.0,103.0,English-Español,6.3
61,Eye for an Eye,1996,Drama-Thriller,20000000,en,Eye for an Eye,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,Paramount Pictures,United States of America,1996-01-12,0.0,101.0,English-Français-한국어/조선말-Español,5.8
62,Mr. Holland's Opus,1995,Drama-Family-Music,0,en,Mr. Holland's Opus,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Hollywood Pictures-The Charlie Mopic Company-PolyGram Filmed Entertainment-Interscope Communications,United States of America,1995-12-29,106269971.0,137.0,English,6.9
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy,0,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,Miramax Films-Island Pictures-Ivory Way Productions,United States of America,1996-01-12,0.0,89.0,English-Español,6.2
65,Bio-Dome,1996,Comedy,15000000,en,Bio-Dome,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,Metro-Goldwyn-Mayer (MGM)-Motion Picture Corporation of America (MPCA)-3 Arts Entertainment-Weasel Productions,United States of America,1996-01-12,0.0,88.0,English-Pусский,4.4
66,Lawnmower Man 2: Beyond Cyberspace,1996,Action-Sci-Fi-Science Fiction-Thriller,0,en,Lawnmower Man 2: Beyond Cyberspace,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,New Line Cinema,United States of America,1996-01-12,2409225.0,92.0,English-Magyar,2.8
67,Two Bits,1995,Drama-Family,0,en,Two Bits,/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg,Miramax Films,United States of America,1995-10-22,0.0,85.0,English,5.4
69,Friday,1995,Comedy,3500000,en,Friday,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,New Line Cinema,United States of America,1995-04-26,28215918.0,91.0,English,7.0
70,From Dusk Till Dawn,1996,Action-Comedy-Crime-Horror-Thriller,19000000,en,From Dusk Till Dawn,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,A Band Apart-Dimension Films-Los Hooligans Productions-Miramax,United States of America,1996-01-19,25836616.0,108.0,English-Español,6.9
71,Fair Game,1995,Action-Romance-Thriller,50000000,en,Fair Game,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,Silver Pictures-Warner Bros.,United States of America,1995-11-03,11534477.0,91.0,English-Español,4.1
72,Kicking and Screaming,1995,Comedy-Drama-Romance,0,en,Kicking and Screaming,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,Castleberg Productions-Sandollar Productions,United States of America,1995-10-06,718490.0,96.0,English,7.0
74,Bed of Roses,1996,Drama-Romance,0,en,Bed of Roses,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,New Line Cinema-Juno Pix,United States of America,1996-01-26,19030691.0,87.0,English,5.1
75,Big Bully,1996,Comedy-Drama-Family,15000000,en,Big Bully,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,Warner Bros.-Morgan Creek Productions,United States of America,1996-01-26,2042530.0,90.0,English,3.9
76,Screamers,1995,Horror-Sci-Fi-Science Fiction-Thriller,20000000,en,Screamers,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,The Movie Network (TMN)-Allegro Films-Fuji Eight Company Ltd.-Fries Film Group-Super Ecran-Triumph Films,Canada-Japan-United States of America,1995-09-08,5781885.0,108.0,English,6.1
77,Nico Icon,1995,Documentary,0,en,Nico Icon,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,Zweites Deutsches Fernsehen (ZDF)-Ciak Filmproduktion-Bluehorse Films,Germany-United States of America,1995-02-18,0.0,70.0,Deutsch-English,7.3
83,Once Upon a Time... When We Were Colored,1995,Drama-Romance,0,en,Once Upon a Time... When We Were Colored,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,BET Pictures-United Image Entertainme,United States of America,1996-01-26,0.0,115.0,English,4.5
84,Last Summer in the Hamptons,1995,Comedy-Drama,0,en,Last Summer in the Hamptons,/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg,,,1995-11-22,0.0,108.0,,0.0
85,Angels and Insects,1995,Drama-Romance,0,en,Angels and Insects,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,Playhouse International Pictures-The Samuel Goldwyn Company,United Kingdom-United States of America,1995-09-10,0.0,118.0,English,6.3
86,White Squall,1996,Action-Adventure-Drama,38000000,en,White Squall,/3a5nomeyzJF4gG26HouCtce99ki.jpg,Hollywood Pictures-Largo Entertainment-Scott Free Productions,United States of America,1996-02-02,10300000.0,129.0,Dansk-English-Français-Deutsch,6.3
87,Dunston Checks In,1996,Adventure-Children's-Comedy-Family,16000000,en,Dunston Checks In,/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg,Twentieth Century Fox Film Corporation-Joe Wizan/Todd Black,United States of America,1996-01-12,0.0,88.0,English-Français-Pусский,5.1
88,Black Sheep,1996,Comedy,0,en,Black Sheep,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,Paramount Pictures,United States of America,1996-02-01,32.0,87.0,English,6.0
89,Nick of Time,1995,Action-Crime-Drama-Thriller,8169363,en,Nick of Time,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,Paramount Pictures,United States of America,1995-11-22,8175346.0,90.0,English,6.1
92,Mary Reilly,1996,Drama-Horror-Romance-Thriller,47000000,en,Mary Reilly,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,TriStar Pictures-NFH Productions,United States of America,1996-02-23,12379402.0,104.0,English,5.7
93,Vampire in Brooklyn,1995,Comedy-Horror-Romance,14000000,en,Vampire in Brooklyn,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,Paramount Pictures,United States of America,1995-10-26,19800000.0,100.0,English,4.5
94,Beautiful Girls,1996,Comedy-Drama-Romance,0,en,Beautiful Girls,/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg,Miramax Films-Woods Entertainment,United States of America,1996-02-09,0.0,112.0,English,6.6
95,Broken Arrow,1996,Action-Adventure-Drama-Thriller,50000000,en,Broken Arrow,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,Twentieth Century Fox Film Corporation-WCG Entertainment Productions-Mark Gordon Productions,United States of America,1996-02-09,150270147.0,108.0,English,5.7
98,Shopping,1994,Action-Adventure-Drama-Science Fiction-Thriller,0,en,Shopping,/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg,Channel Four Films,United Kingdom,1994-12-06,0.0,105.0,English,5.6
99,Heidi Fleiss: Hollywood Madam,1995,Documentary,0,en,Heidi Fleiss: Hollywood Madam,/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg,British Broadcasting Corporation (BBC)-Westdeutscher Rundfunk (WDR)-Canadian Broadcasting Corporation (CBC)-Cinemax Reel Life-InPictures-Lafayette Films,United Kingdom-Canada-United States of America-Germany,1995-12-27,0.0,106.0,English,6.8
100,City Hall,1996,Drama-Thriller,0,en,City Hall,/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg,Columbia Pictures-Castle Rock Entertainment,United States of America,1996-02-16,0.0,111.0,English,6.0
101,Bottle Rocket,1996,Comedy-Crime-Drama,7000000,en,Bottle Rocket,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,Gracie Films-Columbia Pictures Corporation,United States of America,1996-02-21,560069.0,91.0,Español-English,6.8
102,Mr. Wrong,1996,Comedy-Romance,0,en,Mr. Wrong,/8oZW1loLEczN1BU60YobsJJFdSR.jpg,Touchstone Pictures,United States of America,1996-02-16,0.0,96.0,English,3.3
103,Unforgettable,1996,Drama-Mystery-Science Fiction-Thriller,18000000,en,Unforgettable,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,Metro-Goldwyn-Mayer (MGM)-Dino De Laurentiis Company-Spelling Films,United States of America,1996-02-23,0.0,106.0,English,5.3
104,Happy Gilmore,1996,Comedy,12000000,en,Happy Gilmore,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,Universal Pictures-Brillstein-Grey Entertainment-Robert Simonds Productions,United States of America,1996-02-16,41205099.0,92.0,English,6.5
107,Muppet Treasure Island,1996,Action-Adventure-Children's-Comedy-Family-Music-Musical,0,en,Muppet Treasure Island,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,"Walt Disney Pictures-Jim Henson Productions-Jim Henson Company, The",United States of America,1996-02-16,34327391.0,100.0,English,6.5
108,Catwalk,1995,Documentary,0,en,Catwalk,/yhFcbTCnsWjg3nH3PLL6RoltjqS.jpg,,,1995-12-08,0.0,95.0,English,7.0
109,Headless Body in Topless Bar,1995,Comedy-Crime,0,en,Headless Body in Topless Bar,/tQ6HEWNxvbeF2WklTVEp3su446F.jpg,,,1995-05-20,0.0,110.0,,0.0
110,Braveheart,1995,Action-Drama-History-War,72000000,en,Braveheart,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,Icon Entertainment International-The Ladd Company-B.H. Finance C.V.,United States of America,1995-05-24,210000000.0,177.0,English-Français-Latin-,7.7
111,Taxi Driver,1976,Crime-Drama-Thriller,1300000,en,Taxi Driver,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,Columbia Pictures Corporation-Italo/Judeo Productions-Bill/Phillips,United States of America,1976-02-07,28262574.0,114.0,English-Español,8.1
112,Rumble in the Bronx,1995,Action-Adventure-Comedy-Crime-Thriller,7500000,cn,紅番區,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,New Line Cinema-Golden Harvest Company,Hong Kong,1995-01-30,32392047.0,91.0,广州话 / 廣州話-English,6.5
113,Before and After,1996,Drama-Mystery-Thriller,35000000,en,Before and After,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,Caravan Pictures-Hollywood Pictures,United States of America,1996-02-23,0.0,108.0,English-Français-Deutsch,5.8
114,Margaret's Museum,1995,Drama,0,en,Margaret's Museum,/l00ALsdVyRGmPIp5EWlEoplki0X.jpg,Téléfilm Canada-Skyline Films-Malofilm-Société de Développement des Entreprises Culturelles (SODEC)-British Screen Productions-National Film Board of Canada (NFB)-imX Communications-Glace Bay Pictures-Ciné Télé Action-Nova Scotia Film Development Corporation-Ranfilm,Canada-United Kingdom,1995-09-13,0.0,114.0,English,7.5
115,Happiness Is in the Field,1995,Comedy,13365000,en,Le Bonheur est dans le pré,/4PlYwKSqsjKFr4hjh61KukRIRvy.jpg,France 2 Cinéma-France 3 Cinéma-StudioCanal-Les Productions du Champ Poirier-Téléma Productions,France,1995-01-31,0.0,106.0,Français,7.0
116,Anne Frank Remembered,1995,Documentary-Drama-Foreign,0,en,Anne Frank Remembered,/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg,,United Kingdom-United States of America-Netherlands,1995-06-08,1.0,117.0,English,7.3
118,If Lucy Fell,1996,Comedy-Romance,0,en,If Lucy Fell,/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg,TriStar Pictures-Motion Picture Corporation of America (MPCA),United States of America,1996-03-08,0.0,92.0,English,5.4
120,Race the Sun,1996,Action-Adventure-Comedy-Drama-Family,0,en,Race the Sun,/odifQ57irGc3k0x85djZ0yT2Inn.jpg,TriStar Pictures,United States of America,1996-03-22,0.0,100.0,English,5.2
122,Boomerang,1992,Comedy-Romance,40000000,en,Boomerang,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg,Paramount Pictures,United States of America,1992-06-30,70100000.0,117.0,Français-English,5.4
123,Chungking Express,1994,Comedy-Drama-Mystery-Romance,0,cn,重慶森林,/yQUjZTzwgskqOJdr3jhwQ4yTkvb.jpg,Jet Tone Production-The Criterion Collection,Hong Kong,1994-07-14,0.0,102.0,广州话 / 廣州話-English-日本語-普通话,7.9
128,Jupiter's Wife,1994,Documentary,0,en,Jupiter's Wife,/uUi23HjvDFYGfuVlCBGozUY1Ab4.jpg,,,1995-01-01,0.0,87.0,,0.0
129,Pie in the Sky,1995,Comedy-Romance,0,en,Pie in the Sky,/6KO5jsPOr80J8PkKXPE8fym5I2R.jpg,,,1996-02-09,0.0,95.0,English,7.0
130,Angela,1995,Comedy-Drama,0,en,Angela,/dw5RWgSSDV5h3ZKS0oSzPe6A26p.jpg,,United States of America,1995-01-01,0.0,99.0,English,5.6
131,Frankie Starlight,1995,Drama-Romance-War,0,it,Frankie Starlight,/1cPX7MWnEYG21tSdEpWlFygZUwY.jpg,Fine Line Features-Channel Four Films-Bórd Scannán na hÉireann-Canal+,United Kingdom-United States of America-France-Ireland,1995-11-22,0.0,101.0,English,5.4
132,Jade,1995,Action-Mystery-Romance-Thriller,50000000,en,Jade,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg,Paramount Pictures,United States of America,1995-10-13,9851610.0,95.0,English,5.1
133,Nueba Yol,1995,Comedy-Drama-Romance,0,es,Nueba Yol,/1VNalbjNQkKejRnHW2XM6SwnCa0.jpg,Cigua Films-D'Pelicula,Dominican Republic,1995-08-16,0.0,102.0,Español,5.5
134,Sonic Outlaws,1995,Documentary-Music,0,en,Sonic Outlaws,/wU4NBvZdP1wTAq142OR5knnhfG5.jpg,,United States of America,1995-08-01,0.0,87.0,English,0.0
135,Down Periscope,1996,Comedy,0,en,Down Periscope,/q6JEjedx4LoZRig8U1R5sJqBfti.jpg,Twentieth Century Fox Film Corporation,United States of America,1996-03-01,0.0,92.0,English,5.6
136,From the Journals of Jean Seberg,1995,Documentary,0,en,From the Journals of Jean Seberg,/wfPHta8Wxm4LQVHU8tRhL8GCyIz.jpg,Couch Potatoe Productions,United States of America,1995-09-08,0.0,97.0,English,6.5
137,Man of the Year,1995,Comedy-Documentary,0,en,Man of the Year,/nKYRDhGlbvQpXJnyMm7fcFDtm6P.jpg,,United States of America,1995-09-15,209935.0,86.0,English,3.8
139,Target,1995,Action-Drama,0,en,Target,/z0ezqAFMeGYd5mLEWaN8jC9eczF.jpg,,,1995-08-01,0.0,122.0,,0.0
145,Bad Boys,1995,Action-Comedy-Crime-Thriller,19000000,en,Bad Boys,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg,Columbia Pictures-Don Simpson/Jerry Bruckheimer Films,United States of America,1995-04-07,141407024.0,118.0,English,6.5
149,Amateur,1994,Comedy-Crime-Drama-Thriller,0,en,Amateur,/lZHBvDFavIfOx8gD4iqY701jF98.jpg,Channel Four Films-Zenith Entertainment-American Playhouse-Union Générale Cinématographique (UGC)-La Sept Cinéma-True Fiction Pictures,France-United Kingdom-United States of America,1994-08-05,0.0,105.0,English,6.5
150,Apollo 13,1995,Drama,52000000,en,Apollo 13,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,Imagine Entertainment-Universal Pictures,United States of America,1995-06-30,355237933.0,140.0,English,7.3
151,Rob Roy,1995,Adventure-Drama-Romance-War,28000000,en,Rob Roy,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg,United Artists-Talisman Productions,United Kingdom-United States of America,1995-04-13,31596911.0,139.0,English,6.5
153,Batman Forever,1995,Action-Adventure-Comedy-Crime-Fantasy,100000000,en,Batman Forever,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,Warner Bros.-Polygram Filmed Entertainment,United Kingdom-United States of America,1995-06-16,336529144.0,121.0,English,5.2
155,Beyond Rangoon,1995,Drama-Thriller-War,0,en,Beyond Rangoon,/5CQgpLITPo33AEN1jULsyiHxSDJ.jpg,Columbia Pictures-Castle Rock Entertainment,,1995-05-24,0.0,100.0,English,6.4
